날짜,지역,유종,가격
2024-04-01,전라북도,GAS,1679.23
2024-04-01,전라북도,DSL,1544.35
2024-04-01,제주특별자치도,GAS,1757.66
2024-04-01,제주특별자치도,DSL,1635.42
2024-04-01,충청남도,GAS,1689.30
2024-04-01,충청남도,DSL,1564.47
2024-04-01,충청북도,GAS,1696.34
2024-04-01,충청북도,DSL,1560.15
2024-05-01,강원도,GAS,1714.50
2024-05-01,강원도,DSL,1563.95
2024-05-01,경기도,GAS,1701.46
2024-05-01,경기도,DSL,1537.43
2024-05-01,경상남도,GAS,1684.32
2024-05-01,경상남도,DSL,1531.27
2024-05-01,경상북도,GAS,1685.16
2024-05-01,경상북도,DSL,1522.56
2024-05-01,광주광역시,GAS,1684.94
2024-05-01,광주광역시,DSL,1520.67
2024-05-01,대구광역시,GAS,1664.11
2024-05-01,대구광역시,DSL,1495.47
2024-05-01,대전광역시,GAS,1691.95
2024-05-01,대전광역시,DSL,1538.74
2024-05-01,부산광역시,GAS,1671.95
2024-05-01,부산광역시,DSL,1515.16
2024-05-01,서울특별시,GAS,1763.77
2024-05-01,서울특별시,DSL,1627.24
2024-05-01,세종특별자치시,GAS,1696.38
2024-05-01,세종특별자치시,DSL,1541.58
2024-05-01,울산광역시,GAS,1663.00
2024-05-01,울산광역시,DSL,1511.88
2024-05-01,인천광역시,GAS,1687.26
2024-05-01,인천광역시,DSL,1526.28
2024-05-01,전라남도,DSL,1554.54
2024-05-01,전라남도,GAS,1704.38
2024-05-01,전라북도,GAS,1692.23
2024-05-01,전라북도,DSL,1527.16
2024-05-01,제주특별자치도,GAS,1705.75
2024-05-01,제주특별자치도,DSL,1558.92
2024-05-01,충청남도,GAS,1702.96
2024-05-01,충청남도,DSL,1549.20
2024-05-01,충청북도,GAS,1707.79
2024-05-01,충청북도,DSL,1545.49
2024-06-01,강원도,GAS,1673.27
2024-06-01,강원도,DSL,1511.38
2024-06-01,경기도,GAS,1656.46
2024-06-01,경기도,DSL,1483.08
2024-06-01,경상남도,GAS,1645.74
2024-06-01,경상남도,DSL,1477.23
2024-06-01,경상북도,GAS,1645.14
2024-06-01,경상북도,DSL,1466.84
2024-06-01,광주광역시,GAS,1648.52
2024-06-01,광주광역시,DSL,1473.58
2024-06-01,대구광역시,GAS,1624.17
2024-06-01,대구광역시,DSL,1441.93
2024-06-01,대전광역시,GAS,1641.71
2024-06-01,대전광역시,DSL,1483.56
2024-06-01,부산광역시,GAS,1631.96
2024-06-01,부산광역시,DSL,1467.08
2024-06-01,서울특별시,GAS,1718.99
2024-06-01,서울특별시,DSL,1580.46
2024-06-01,세종특별자치시,GAS,1654.86
2024-06-01,세종특별자치시,DSL,1486.46
2024-06-01,울산광역시,GAS,1626.72
2024-06-01,울산광역시,DSL,1464.65
2024-06-01,인천광역시,GAS,1637.98
2024-06-01,인천광역시,DSL,1459.57
2024-06-01,전라남도,DSL,1508.03
2024-06-01,전라남도,GAS,1672.97
2024-06-01,전라북도,GAS,1655.01
2024-06-01,전라북도,DSL,1477.95
2024-06-01,제주특별자치도,GAS,1682.44
2024-06-01,제주특별자치도,DSL,1530.89
2024-06-01,충청남도,GAS,1664.73
2024-06-01,충청남도,DSL,1495.24
2024-06-01,충청북도,GAS,1668.88
2024-06-01,충청북도,DSL,1496.42
2024-07-01,강원도,GAS,1712.76
2024-07-01,강원도,DSL,1553.23
2024-07-01,경기도,GAS,1712.69
2024-07-01,경기도,DSL,1548.30
2024-07-01,경상남도,GAS,1691.00
2024-07-01,경상남도,DSL,1524.91
2024-07-01,경상북도,GAS,1695.83
2024-07-01,경상북도,DSL,1522.24
2024-07-01,광주광역시,GAS,1690.72
2024-07-01,광주광역시,DSL,1522.50
2024-07-01,대구광역시,GAS,1685.46
2024-07-01,대구광역시,DSL,1512.06
2024-07-01,대전광역시,GAS,1711.69
2024-07-01,대전광역시,DSL,1557.84
2024-07-01,부산광역시,GAS,1693.62
2024-07-01,부산광역시,DSL,1530.19
2024-07-01,서울특별시,GAS,1774.36
2024-07-01,서울특별시,DSL,1637.64
2024-07-01,세종특별자치시,GAS,1705.75
2024-07-01,세종특별자치시,DSL,1541.33
2024-07-01,울산광역시,GAS,1683.58
2024-07-01,울산광역시,DSL,1520.96
2024-07-01,인천광역시,GAS,1711.54
2024-07-01,인천광역시,DSL,1546.70
2024-07-01,전라남도,DSL,1543.24
2024-07-01,전라남도,GAS,1707.32
2024-07-01,전라북도,GAS,1697.54
2024-07-01,전라북도,DSL,1526.00
2024-07-01,제주특별자치도,GAS,1757.52
2024-07-01,제주특별자치도,DSL,1613.79
2024-07-01,충청남도,GAS,1705.73
2024-07-01,충청남도,DSL,1540.33
2024-07-01,충청북도,GAS,1711.28
2024-07-01,충청북도,DSL,1544.71
2024-08-01,강원도,GAS,1705.08
2024-08-01,강원도,DSL,1548.93
2024-08-01,경기도,GAS,1692.80
2024-08-01,경기도,DSL,1529.60
