연도,월,지역,연료,차종,등록대수
2020,1,부산광역시,수소,승용,0
2020,1,부산광역시,수소,승합,0
2020,1,부산광역시,수소,화물,0
2020,1,부산광역시,수소,특수,0
2020,1,부산광역시,전기,승용,1
2020,1,부산광역시,전기,승합,0
2020,1,부산광역시,전기,화물,0
2020,1,부산광역시,전기,특수,1
2020,1,부산광역시,하이브리드,승용,411
2020,1,부산광역시,하이브리드,승합,0
2020,1,부산광역시,하이브리드,화물,0
2020,1,부산광역시,하이브리드,특수,0
2020,1,부산광역시,휘발유,승용,868
2020,1,부산광역시,휘발유,승합,0
2020,1,부산광역시,휘발유,화물,30
2020,1,부산광역시,휘발유,특수,0
2020,1,서울특별시,경유,승용,2783
2020,1,서울특별시,경유,승합,348
2020,1,서울특별시,경유,화물,2539
2020,1,서울특별시,경유,특수,76
2020,1,서울특별시,수소,승용,1
2020,1,서울특별시,수소,승합,0
2020,1,서울특별시,수소,화물,0
2020,1,서울특별시,수소,특수,0
2020,1,서울특별시,전기,승용,221
2020,1,서울특별시,전기,승합,8
2020,1,서울특별시,전기,화물,148
2020,1,서울특별시,전기,특수,0
2020,1,서울특별시,하이브리드,승용,1615
2020,1,서울특별시,하이브리드,승합,0
2020,1,서울특별시,하이브리드,화물,0
2020,1,서울특별시,하이브리드,특수,0
2020,1,서울특별시,휘발유,승용,1435
2020,1,서울특별시,휘발유,승합,0
2020,1,서울특별시,휘발유,화물,118
2020,1,서울특별시,휘발유,특수,0
2020,1,세종특별자치시,경유,승용,29
2020,1,세종특별자치시,경유,승합,3
2020,1,세종특별자치시,경유,화물,40
2020,1,세종특별자치시,경유,특수,2
2020,1,세종특별자치시,수소,승용,0
2020,1,세종특별자치시,수소,승합,0
2020,1,세종특별자치시,수소,화물,0
2020,1,세종특별자치시,수소,특수,0
2020,1,세종특별자치시,전기,승용,0
2020,1,세종특별자치시,전기,승합,0
2020,1,세종특별자치시,전기,화물,0
2020,1,세종특별자치시,전기,특수,0
2020,1,세종특별자치시,하이브리드,승용,15
2020,1,세종특별자치시,하이브리드,승합,0
2020,1,세종특별자치시,하이브리드,화물,0
2020,1,세종특별자치시,하이브리드,특수,0
2020,1,세종특별자치시,휘발유,승용,4
2020,1,세종특별자치시,휘발유,승합,0
2020,1,세종특별자치시,휘발유,화물,0
2020,1,세종특별자치시,휘발유,특수,0
2020,1,울산광역시,경유,승용,594
2020,1,울산광역시,경유,승합,48
2020,1,울산광역시,경유,화물,301
2020,1,울산광역시,경유,특수,6
2020,1,울산광역시,수소,승용,44
2020,1,울산광역시,수소,승합,0
2020,1,울산광역시,수소,화물,0
2020,1,울산광역시,수소,특수,0
2020,1,울산광역시,전기,승용,0
2020,1,울산광역시,전기,승합,0
2020,1,울산광역시,전기,화물,10
2020,1,울산광역시,전기,특수,0
2020,1,울산광역시,하이브리드,승용,197
2020,1,울산광역시,하이브리드,승합,0
2020,1,울산광역시,하이브리드,화물,0
2020,1,울산광역시,하이브리드,특수,0
2020,1,울산광역시,휘발유,승용,215
2020,1,울산광역시,휘발유,승합,0
2020,1,울산광역시,휘발유,화물,10
2020,1,울산광역시,휘발유,특수,0
2020,1,인천광역시,경유,승용,4084
2020,1,인천광역시,경유,승합,228
2020,1,인천광역시,경유,화물,1266
2020,1,인천광역시,경유,특수,61
2020,1,인천광역시,수소,승용,17
2020,1,인천광역시,수소,승합,0
2020,1,인천광역시,수소,화물,0
2020,1,인천광역시,수소,특수,0
2020,1,인천광역시,전기,승용,9
2020,1,인천광역시,전기,승합,0
2020,1,인천광역시,전기,화물,37
2020,1,인천광역시,전기,특수,0
2020,1,인천광역시,하이브리드,승용,854
2020,1,인천광역시,하이브리드,승합,0
2020,1,인천광역시,하이브리드,화물,0
2020,1,인천광역시,하이브리드,특수,0
2020,1,인천광역시,휘발유,승용,2624
2020,1,인천광역시,휘발유,승합,0
2020,1,인천광역시,휘발유,화물,85
2020,1,인천광역시,휘발유,특수,0
2020,1,전라남도,경유,승용,2234
2020,1,전라남도,경유,승합,126
2020,1,전라남도,경유,화물,836
2020,1,전라남도,경유,특수,24
2020,1,전라남도,수소,승용,0
2020,1,전라남도,수소,승합,0
2020,1,전라남도,수소,화물,0
2020,1,전라남도,수소,특수,0
2020,1,전라남도,전기,승용,5
2020,1,전라남도,전기,승합,0
2020,1,전라남도,전기,화물,1
2020,1,전라남도,전기,특수,0
2020,1,전라남도,하이브리드,승용,248
2020,1,전라남도,하이브리드,승합,0
2020,1,전라남도,하이브리드,화물,0
2020,1,전라남도,하이브리드,특수,0
2020,1,전라남도,휘발유,승용,324
2020,1,전라남도,휘발유,승합,0
2020,1,전라남도,휘발유,화물,32
2020,1,전라남도,휘발유,특수,0
2020,1,전라북도,경유,승용,718
2020,1,전라북도,경유,승합,119
2020,1,전라북도,경유,화물,810
2020,1,전라북도,경유,특수,25
2020,1,전라북도,수소,승용,1
2020,1,전라북도,수소,승합,0
2020,1,전라북도,수소,화물,0
2020,1,전라북도,수소,특수,0
2020,1,전라북도,전기,승용,11
2020,1,전라북도,전기,승합,0
2020,1,전라북도,전기,화물,15
2020,1,전라북도,전기,특수,0
2020,1,전라북도,하이브리드,승용,180
2020,1,전라북도,하이브리드,승합,0
2020,1,전라북도,하이브리드,화물,0
2020,1,전라북도,하이브리드,특수,0
2020,1,전라북도,휘발유,승용,307
2020,1,전라북도,휘발유,승합,0
2020,1,전라북도,휘발유,화물,46
2020,1,전라북도,휘발유,특수,0
2020,1,제주특별자치도,경유,승용,2126
2020,1,제주특별자치도,경유,승합,195
2020,1,제주특별자치도,경유,화물,407
2020,1,제주특별자치도,경유,특수,2
2020,1,제주특별자치도,수소,승용,0
2020,1,제주특별자치도,수소,승합,0
2020,1,제주특별자치도,수소,화물,0
2020,1,제주특별자치도,수소,특수,0
2020,1,제주특별자치도,전기,승용,114
2020,1,제주특별자치도,전기,승합,0
2020,1,제주특별자치도,전기,화물,126
2020,1,제주특별자치도,전기,특수,0
2020,1,제주특별자치도,하이브리드,승용,446
2020,1,제주특별자치도,하이브리드,승합,0
2020,1,제주특별자치도,하이브리드,화물,0
2020,1,제주특별자치도,하이브리드,특수,0
2020,1,제주특별자치도,휘발유,승용,185
2020,1,제주특별자치도,휘발유,승합,0
2020,1,제주특별자치도,휘발유,화물,27
2020,1,제주특별자치도,휘발유,특수,0
2020,1,충청남도,경유,승용,869
2020,1,충청남도,경유,승합,133
2020,1,충청남도,경유,화물,763
2020,1,충청남도,경유,특수,40
2020,1,충청남도,수소,승용,1
2020,1,충청남도,수소,승합,0
2020,1,충청남도,수소,화물,0
2020,1,충청남도,수소,특수,0
2020,1,충청남도,전기,승용,1
2020,1,충청남도,전기,승합,0
2020,1,충청남도,전기,화물,1
2020,1,충청남도,전기,특수,0
2020,1,충청남도,하이브리드,승용,190
2020,1,충청남도,하이브리드,승합,0
2020,1,충청남도,하이브리드,화물,0
2020,1,충청남도,하이브리드,특수,0
2020,1,충청남도,휘발유,승용,343
2020,1,충청남도,휘발유,승합,0
2020,1,충청남도,휘발유,화물,74
2020,1,충청남도,휘발유,특수,0
2020,1,충청북도,경유,승용,629
2020,1,충청북도,경유,승합,77
2020,1,충청북도,경유,화물,820
2020,1,충청북도,경유,특수,14
2020,1,충청북도,수소,승용,1
2020,1,충청북도,수소,승합,0
2020,1,충청북도,수소,화물,0
2020,1,충청북도,수소,특수,0
2020,1,충청북도,전기,승용,16
2020,1,충청북도,전기,승합,0
2020,1,충청북도,전기,화물,0
2020,1,충청북도,전기,특수,0
2020,1,충청북도,하이브리드,승용,207
2020,1,충청북도,하이브리드,승합,0
