year,sido,sigungu,vehicle_type,manufacturer,model_name,national_subsidy,local_subsidy,total_subsidy
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 스탠다드 19인치,483.0,144.0,627.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 19인치,558.0,167.0,725.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 20인치,532.0,159.0,691.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 N라인 20인치,510.0,153.0,663.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 18인치,570.0,171.0,741.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 20인치,570.0,171.0,741.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 N라인 20인치,570.0,171.0,741.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 스탠다드 18인치,560.0,168.0,728.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 18인치,570.0,171.0,741.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 20인치,553.0,165.0,718.0
2026,서울,서울특별시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 N라인 20인치,537.0,161.0,698.0
2026,서울,서울특별시,일반승용,현대자동차,스타리아 라운지 일렉트릭 7인승,229.0,68.0,297.0
2026,서울,서울특별시,일반승용,현대자동차,스타리아 리무진 일렉트릭 6인승,229.0,68.0,297.0
2026,서울,서울특별시,일반승용,현대자동차,아이오닉6 N,250.0,75.0,325.0
2026,서울,서울특별시,일반승용,현대자동차,아이오닉9 성능형 AWD,272.0,81.0,353.0
2026,서울,서울특별시,일반승용,현대자동차,아이오닉9 항속형 2WD,274.0,82.0,356.0
2026,서울,서울특별시,일반승용,현대자동차,아이오닉9 항속형 AWD,271.0,81.0,352.0
2026,서울,서울특별시,경·소형,현대자동차,캐스퍼 일렉트릭 기본형 15인치,490.0,147.0,637.0
2026,서울,서울특별시,경·소형,현대자동차,캐스퍼 일렉트릭 크로스 17인치,487.0,146.0,633.0
2026,서울,서울특별시,경·소형,현대자동차,캐스퍼 일렉트릭 항속형 15인치,490.0,147.0,637.0
2026,서울,서울특별시,경·소형,현대자동차,캐스퍼 일렉트릭 항속형 17인치(라운지포함),490.0,147.0,637.0
2026,서울,서울특별시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,514.0,154.0,668.0
2026,서울,서울특별시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치 빌트인 캠 미적용,514.0,154.0,668.0
2026,서울,서울특별시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치,459.0,137.0,596.0
2026,서울,서울특별시,일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,437.0,131.0,568.0
2026,부산,부산광역시,일반승용,BMW,MINI Aceman E,400.0,120.0,520.0
2026,부산,부산광역시,일반승용,BMW,MINI Aceman SE,400.0,120.0,520.0
2026,부산,부산광역시,일반승용,BMW,MINI Cooper SE,396.0,118.0,514.0
2026,부산,부산광역시,일반승용,BMW,MINI Countryman E,217.0,65.0,282.0
2026,부산,부산광역시,일반승용,BMW,MINI Countryman SE ALL4,203.0,60.0,263.0
