연도,시도,시군구,차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
2026,경기,성남시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치 빌트인 캠 미적용,514,231,745
2026,경기,성남시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치,459,206,665
2026,경기,성남시,일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,437,196,633
2026,경기,의정부시,일반승용,BMW,MINI Aceman E,400,146,546
2026,경기,의정부시,일반승용,BMW,MINI Aceman SE,400,146,546
2026,경기,의정부시,일반승용,BMW,MINI Cooper SE,396,145,541
2026,경기,의정부시,일반승용,BMW,MINI Countryman E,217,79,296
2026,경기,의정부시,일반승용,BMW,MINI Countryman SE ALL4,203,74,277
2026,경기,의정부시,일반승용,BMW,MINI JCW Aceman E,197,72,269
2026,경기,의정부시,일반승용,BMW,MINI JCW E,191,70,261
2026,경기,의정부시,일반승용,BMW,i4 M60 LCI (71HD),233,85,318
2026,경기,의정부시,일반승용,BMW,i4 eDrive 40 LCI(21HD),244,89,333
2026,경기,의정부시,일반승용,BMW,i4 eDrive 40 LCI(61HD),256,93,349
2026,경기,의정부시,일반승용,BMW,i5 eDrive 40,262,96,358
2026,경기,의정부시,일반승용,BMW,iX1 eDrive20,212,77,289
2026,경기,의정부시,일반승용,BMW,iX1 xDrive30,192,70,262
2026,경기,의정부시,일반승용,BMW,iX2 eDrive20,214,78,292
2026,경기,의정부시,일반승용,BMW,iX3 50 xDrive,275,100,375
2026,경기,의정부시,일반승용,기아,EV3 GT,248,90,338
2026,경기,의정부시,일반승용,기아,EV3 롱레인지 2WD 17인치,555,203,758
2026,경기,의정부시,일반승용,기아,EV3 롱레인지 2WD 19인치,555,203,758
2026,경기,의정부시,일반승용,기아,EV3 롱레인지 4WD 19인치,539,197,736
2026,경기,의정부시,일반승용,기아,EV3 스탠다드 2WD,469,171,640
2026,경기,의정부시,일반승용,기아,EV4 GT,255,93,348
2026,경기,의정부시,일반승용,기아,EV4 롱레인지 2WD 17인치,555,203,758
2026,경기,의정부시,일반승용,기아,EV4 롱레인지 2WD 19인치,555,203,758
2026,경기,의정부시,일반승용,기아,EV4 롱레인지 4WD 19인치,554,203,757
2026,경기,의정부시,일반승용,기아,EV4 롱레인지 GTL 2WD 19인치,555,203,758
2026,경기,의정부시,일반승용,기아,EV4 스탠다드 2WD 17인치,512,187,699
2026,경기,의정부시,일반승용,기아,EV4 스탠다드 2WD 19인치,481,176,657
2026,경기,의정부시,일반승용,기아,EV5 GT,232,85,317
2026,경기,의정부시,일반승용,기아,EV5 롱레인지 2WD,552,202,754
2026,경기,의정부시,일반승용,기아,EV5 롱레인지 4WD 18인치,499,182,681
2026,경기,의정부시,일반승용,기아,EV5 롱레인지 4WD 19인치,493,180,673
2026,경기,의정부시,일반승용,기아,EV9 GT,245,89,334
2026,경기,의정부시,일반승용,기아,EV9 롱레인지 2WD 19인치,270,99,369
2026,경기,의정부시,일반승용,기아,EV9 롱레인지 2WD 20인치,268,98,366
2026,경기,의정부시,일반승용,기아,EV9 롱레인지 4WD 19인치,254,93,347
2026,경기,의정부시,일반승용,기아,EV9 롱레인지 4WD 21인치,260,95,355
2026,경기,의정부시,일반승용,기아,EV9 롱레인지 GTL 4WD 21인치,252,92,344
2026,경기,의정부시,일반승용,기아,EV9 스탠다드,237,86,323
2026,경기,의정부시,일반승용,기아,PV5 패신저 5인승 롱레인지,458,167,625
2026,경기,의정부시,일반승용,기아,Pv5 WAV(비용 미지원),648,237,885
2026,경기,의정부시,일반승용,기아,Pv5 WAV(비용 지원),448,164,612
2026,경기,의정부시,일반승용,기아,The all-new Kia Niro EV,489,179,668
2026,경기,의정부시,일반승용,기아,더뉴EV6 롱레인지 2WD 19인치,570,209,779
2026,경기,의정부시,일반승용,기아,더뉴EV6 롱레인지 2WD 20인치,559,204,763
2026,경기,의정부시,일반승용,기아,더뉴EV6 롱레인지 4WD 19인치,561,205,766
2026,경기,의정부시,일반승용,기아,더뉴EV6 롱레인지 4WD 20인치,532,195,727
2026,경기,의정부시,일반승용,기아,더뉴EV6 스탠다드,501,183,684
2026,경기,의정부시,경·소형,기아,레이 EV 2WD 14인치 1인승 밴,457,167,624
2026,경기,의정부시,경·소형,기아,레이 EV 2WD 14인치 2인승 밴,457,167,624
2026,경기,의정부시,경·소형,기아,레이 EV 2WD 14인치 4인승 승용,457,167,624
2026,경기,의정부시,일반승용,메르세데스벤츠코리아,EQA 250(Facelift),190,69,259
2026,경기,의정부시,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift),154,56,210
2026,경기,의정부시,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift)(CY25/2),162,59,221
2026,경기,의정부시,일반승용,볼보자동차코리아,볼보 EX30 Single Motor ER,247,90,337
2026,경기,의정부시,일반승용,볼보자동차코리아,볼보 EX30CC Twin Motor Perf,222,81,303
2026,경기,의정부시,일반승용,비와이디코리아,BYD ATTO 3,126,46,172
2026,경기,의정부시,일반승용,비와이디코리아,BYD DOLPHIN,109,39,148
2026,경기,의정부시,일반승용,비와이디코리아,BYD DOLPHIN Active,132,48,180
2026,경기,의정부시,일반승용,비와이디코리아,BYD SEAL,169,61,230
2026,경기,의정부시,일반승용,비와이디코리아,BYD SEAL Dynamic AWD,151,55,206
2026,경기,의정부시,일반승용,비와이디코리아,BYD SEALION 7,152,55,207
2026,경기,의정부시,일반승용,케이지모빌리티,토레스 EVX 18인치,354,129,483
2026,경기,의정부시,일반승용,케이지모빌리티,토레스 EVX 18인치(2026),361,132,493
2026,경기,의정부시,일반승용,케이지모빌리티,토레스 EVX 20인치,344,126,470
2026,경기,의정부시,일반승용,케이지모빌리티,토레스 EVX 20인치(2026),354,129,483
2026,경기,의정부시,일반승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,119,446
2026,경기,의정부시,일반승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,114,426
2026,경기,의정부시,일반승용,테슬라코리아,Model 3 Performance,200,73,273
2026,경기,의정부시,일반승용,테슬라코리아,Model 3 Premium Long Range RWD,420,154,574
2026,경기,의정부시,일반승용,테슬라코리아,Model 3 RWD,168,61,229
2026,경기,의정부시,일반승용,테슬라코리아,Model 3 RWD(2025),168,61,229
2026,경기,의정부시,일반승용,테슬라코리아,Model Y L AWD,210,77,287
2026,경기,의정부시,일반승용,테슬라코리아,Model Y Long Range(2025),210,77,287
2026,경기,의정부시,일반승용,테슬라코리아,Model Y Premium Long Range,210,77,287
2026,경기,의정부시,일반승용,테슬라코리아,Model Y Premium RWD,170,62,232
2026,경기,의정부시,일반승용,테슬라코리아,Model Y RWD(2025),170,62,232
2026,경기,의정부시,일반승용,폭스바겐그룹코리아,ID.4 Pro,432,158,590
2026,경기,의정부시,일반승용,폭스바겐그룹코리아,Q4 45 e-tron,206,75,281
2026,경기,의정부시,일반승용,폭스바겐그룹코리아,Q4 Sportback 45 e-tron,206,75,281
2026,경기,의정부시,일반승용,폭스바겐그룹코리아,Q6 e-tron performance,220,80,300
2026,경기,의정부시,일반승용,폭스바겐그룹코리아,iD.5 Pro,473,173,646
2026,경기,의정부시,일반승용,현대자동차,ELECTRIFIED G80,270,99,369
2026,경기,의정부시,일반승용,현대자동차,ELECTRIFIED GV70 AWD 19인치,261,95,356
2026,경기,의정부시,일반승용,현대자동차,ELECTRIFIED GV70 AWD 20인치,245,89,334
2026,경기,의정부시,일반승용,현대자동차,GV60 스탠다드 2WD 19인치,285,104,389
2026,경기,의정부시,일반승용,현대자동차,GV60 스탠다드 AWD 19인치,272,99,371
2026,경기,의정부시,일반승용,현대자동차,GV60 스탠다드 AWD 20인치,261,95,356
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치,564,206,770
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,567,207,774
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 20인치,559,204,763
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 N라인 20인치,541,198,739
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 스탠다드 19인치,483,177,660
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 19인치,558,204,762
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 20인치,532,195,727
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 N라인 20인치,510,187,697
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 18인치,570,209,779
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 20인치,570,209,779
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 롱레인지 N라인 20인치,570,209,779
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉6 2WD 스탠다드 18인치,560,205,765
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 18인치,570,209,779
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 20인치,553,202,755
2026,경기,의정부시,일반승용,현대자동차,더 뉴 아이오닉6 AWD 롱레인지 N라인 20인치,537,196,733
2026,경기,의정부시,일반승용,현대자동차,스타리아 라운지 일렉트릭 7인승,229,83,312
2026,경기,의정부시,일반승용,현대자동차,스타리아 리무진 일렉트릭 6인승,229,83,312
2026,경기,의정부시,일반승용,현대자동차,아이오닉6 N,250,91,341
2026,경기,의정부시,일반승용,현대자동차,아이오닉9 성능형 AWD,272,99,371
2026,경기,의정부시,일반승용,현대자동차,아이오닉9 항속형 2WD,274,100,374
2026,경기,의정부시,일반승용,현대자동차,아이오닉9 항속형 AWD,271,99,370
2026,경기,의정부시,경·소형,현대자동차,캐스퍼 일렉트릭 기본형 15인치,490,179,669
2026,경기,의정부시,경·소형,현대자동차,캐스퍼 일렉트릭 크로스 17인치,487,178,665
2026,경기,의정부시,경·소형,현대자동차,캐스퍼 일렉트릭 항속형 15인치,490,179,669
2026,경기,의정부시,경·소형,현대자동차,캐스퍼 일렉트릭 항속형 17인치(라운지포함),490,179,669
2026,경기,의정부시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,514,188,702
2026,경기,의정부시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치 빌트인 캠 미적용,514,188,702
2026,경기,의정부시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치,459,168,627
2026,경기,의정부시,일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,437,160,597
2026,경기,안양시,일반승용,BMW,MINI Aceman E,400,170,570
2026,경기,안양시,일반승용,BMW,MINI Aceman SE,400,170,570
2026,경기,안양시,일반승용,BMW,MINI Cooper SE,396,168,564
2026,경기,안양시,일반승용,BMW,MINI Countryman E,217,92,309
2026,경기,안양시,일반승용,BMW,MINI Countryman SE ALL4,203,86,289
2026,경기,안양시,일반승용,BMW,MINI JCW Aceman E,197,83,280
2026,경기,안양시,일반승용,BMW,MINI JCW E,191,81,272
2026,경기,안양시,일반승용,BMW,i4 M60 LCI (71HD),233,99,332
2026,경기,안양시,일반승용,BMW,i4 eDrive 40 LCI(21HD),244,103,347
2026,경기,안양시,일반승용,BMW,i4 eDrive 40 LCI(61HD),256,108,364
2026,경기,안양시,일반승용,BMW,i5 eDrive 40,262,111,373
2026,경기,안양시,일반승용,BMW,iX1 eDrive20,212,90,302
2026,경기,안양시,일반승용,BMW,iX1 xDrive30,192,81,273
2026,경기,안양시,일반승용,BMW,iX2 eDrive20,214,90,304
2026,경기,안양시,일반승용,BMW,iX3 50 xDrive,275,116,391
2026,경기,안양시,일반승용,기아,EV3 GT,248,105,353
2026,경기,안양시,일반승용,기아,EV3 롱레인지 2WD 17인치,555,235,790
2026,경기,안양시,일반승용,기아,EV3 롱레인지 2WD 19인치,555,235,790
2026,경기,안양시,일반승용,기아,EV3 롱레인지 4WD 19인치,539,229,768
2026,경기,안양시,일반승용,기아,EV3 스탠다드 2WD,469,199,668
2026,경기,안양시,일반승용,기아,EV4 GT,255,108,363
2026,경기,안양시,일반승용,기아,EV4 롱레인지 2WD 17인치,555,235,790
2026,경기,안양시,일반승용,기아,EV4 롱레인지 2WD 19인치,555,235,790
2026,경기,안양시,일반승용,기아,EV4 롱레인지 4WD 19인치,554,235,789
2026,경기,안양시,일반승용,기아,EV4 롱레인지 GTL 2WD 19인치,555,235,790
2026,경기,안양시,일반승용,기아,EV4 스탠다드 2WD 17인치,512,217,729
