구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2026년01월,1762.96,1684.23,1666.70,1693.35,1685.16,1685.11,1685.74,1697.26,1726.50,1714.57,1709.29,1697.87,1720.66,1698.75,1698.45,1737.70,1698.09
2026년02월,1750.00,1665.77,1649.13,1682.77,1671.83,1672.97,1658.61,1685.24,1707.69,1700.44,1693.85,1683.90,1703.00,1680.68,1681.24,1700.27,1685.47
2026년03월,1875.81,1815.44,1827.75,1830.09,1820.62,1829.32,1821.91,1839.94,1832.93,1845.10,1848.76,1832.93,1825.68,1834.45,1830.39,1841.02,1831.50
2026년04월,2021.60,1972.63,1974.61,1985.24,1974.62,1976.73,1973.74,1990.78,1987.50,1993.15,1988.65,1975.44,1980.26,1981.02,1981.46,2020.86,1978.83
2026년05월,2051.10,1997.94,1994.71,2009.37,2001.84,2000.91,1998.40,2011.97,2019.54,2016.03,2015.17,2006.48,2014.96,2004.96,2003.78,2028.19,2006.24
