구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2026년01월,1665.54,1577.95,1563.32,1591.52,1576.34,1587.52,1584.24,1590.31,1630.37,1605.33,1602.89,1590.40,1619.53,1595.08,1595.06,1635.61,1591.91
2026년02월,1657.69,1562.62,1547.00,1594.28,1569.93,1579.38,1558.85,1583.61,1610.60,1596.06,1590.19,1577.92,1599.46,1576.00,1579.25,1618.70,1581.02
2026년03월,1862.51,1808.26,1819.36,1835.23,1810.97,1823.02,1826.99,1833.86,1817.65,1836.09,1840.75,1820.17,1814.41,1824.95,1828.22,1852.23,1825.10
2026년04월,2005.46,1965.62,1964.77,1977.93,1968.65,1967.57,1971.79,1982.77,1980.69,1986.66,1981.85,1970.65,1976.14,1975.43,1978.39,2005.30,1974.46
2026년05월,2038.85,1992.43,1987.42,2005.31,1998.15,1996.47,1996.28,2005.69,2013.34,2010.86,2009.28,2002.27,2010.90,1999.13,2000.44,2020.38,2003.71
